	allele	len
0	HLA-A01_01	[9, 10, 11, 12]
1	HLA-A02_01	[9, 10, 11, 12]
2	HLA-A02_02	[9, 10, 11, 12]
3	HLA-A02_03	[9, 10, 11]
4	HLA-A02_04	[9, 10, 11, 12]
5	HLA-A02_05	[9, 10, 11]
6	HLA-A02_06	[9, 10, 11]
7	HLA-A02_07	[9, 10, 11, 12]
8	HLA-A02_09	[9, 10, 11, 12]
9	HLA-A02_10	[9, 10, 11]
10	HLA-A02_11	[9, 10, 11, 12]
11	HLA-A02_13	[9, 10, 11]
12	HLA-A02_14	[9, 10, 11]
13	HLA-A02_16	[9, 10, 11, 12]
14	HLA-A02_17	[9, 10, 11]
15	HLA-A02_20	[9, 10, 11, 12]
16	HLA-A02_30	[9, 10, 11, 12]
17	HLA-A03_01	[9, 10, 11, 12]
18	HLA-A03_02	[9, 10, 11, 12]
19	HLA-A11_01	[9, 10, 11, 12]
20	HLA-A23_01	[9, 10, 11, 12]
21	HLA-A24_02	[9, 10, 11, 12]
22	HLA-A24_03	[9, 10, 11, 12]
23	HLA-A24_07	[9, 10, 11, 12]
24	HLA-A25_01	[9, 10, 11, 12]
25	HLA-A26_01	[9, 10, 11, 12]
26	HLA-A26_02	[9, 10, 11, 12]
27	HLA-A26_03	[9, 10, 11, 12]
28	HLA-A29_01	[9, 10, 11, 12]
29	HLA-A29_02	[9, 10, 11, 12]
30	HLA-A30_01	[9, 10, 11]
31	HLA-A30_02	[9, 10, 11, 12]
32	HLA-A30_03	[9, 10, 11, 12]
33	HLA-A30_04	[9, 10, 11, 12]
34	HLA-A31_01	[9, 10, 11, 12]
35	HLA-A32_01	[9, 10, 11, 12]
36	HLA-A32_05	[9, 10, 11]
37	HLA-A33_01	[9, 10, 11, 12]
38	HLA-A33_03	[9, 10, 11, 12]
39	HLA-A34_02	[9, 10, 11, 12]
40	HLA-A66_01	[9, 10, 11, 12]
41	HLA-A68_01	[9, 10, 11, 12]
42	HLA-A68_02	[9, 10, 11]
43	HLA-A69_01	[9, 10, 11]
44	HLA-A74_01	[9, 10, 11, 12]
45	HLA-A80_01	[9, 10, 11, 12]
46	HLA-B07_02	[9, 10, 11, 12]
47	HLA-B07_06	[9, 10, 11, 12]
48	HLA-B08_01	[9, 10, 11]
49	HLA-B08_02	[9, 10, 11]
50	HLA-B08_04	[9, 10]
51	HLA-B13_01	[9, 10, 11]
52	HLA-B13_02	[9, 10, 11]
53	HLA-B14_01	[9, 10]
54	HLA-B14_02	[9, 10]
55	HLA-B15_01	[9, 10, 11, 12]
56	HLA-B15_02	[9, 10, 11]
57	HLA-B15_03	[9, 10, 11]
58	HLA-B15_07	[9, 10, 11, 12]
59	HLA-B15_08	[9, 10, 11, 12]
60	HLA-B15_09	[9, 10, 11]
61	HLA-B15_10	[9, 10, 11]
62	HLA-B15_12	[9, 10, 11, 12]
63	HLA-B15_13	[9, 10, 11]
64	HLA-B15_16	[9, 10, 11]
65	HLA-B15_17	[9, 10, 11]
66	HLA-B15_18	[9, 10, 11, 12]
67	HLA-B18_01	[9, 10, 11, 12]
68	HLA-B27_01	[9, 10, 11, 12]
69	HLA-B27_02	[9, 10, 11, 12]
70	HLA-B27_03	[9, 10, 11, 12]
71	HLA-B27_04	[9, 10, 11, 12]
72	HLA-B27_05	[9, 10, 11, 12]
73	HLA-B27_06	[9, 10, 11, 12]
74	HLA-B27_07	[9, 10, 11, 12]
75	HLA-B27_09	[9, 10, 11, 12]
76	HLA-B35_01	[9, 10, 11, 12]
77	HLA-B35_02	[9, 10, 11, 12]
78	HLA-B35_03	[9, 10, 11, 12]
79	HLA-B35_08	[9, 10, 11, 12]
80	HLA-B35_14	[9, 10, 11, 12]
81	HLA-B37_01	[9, 10, 11]
82	HLA-B38_01	[9, 10, 11, 12]
83	HLA-B39_01	[9, 10, 11]
84	HLA-B39_05	[9, 10, 11, 12]
85	HLA-B39_06	[9, 10, 11]
86	HLA-B39_09	[9, 10, 11]
87	HLA-B39_10	[9, 10, 11, 12]
88	HLA-B40_01	[9, 10, 11, 12]
89	HLA-B40_02	[9, 10, 11, 12]
90	HLA-B40_06	[9, 10, 11, 12]
91	HLA-B41_01	[9, 10, 11, 12]
92	HLA-B41_02	[9, 10, 11, 12]
93	HLA-B41_03	[9, 10, 11, 12]
94	HLA-B41_04	[9, 10, 11, 12]
95	HLA-B41_05	[9, 10, 11, 12]
96	HLA-B41_06	[9, 10, 11, 12]
97	HLA-B42_01	[9, 10, 11, 12]
98	HLA-B42_02	[9, 10, 11, 12]
99	HLA-B44_02	[9, 10, 11, 12]
100	HLA-B44_03	[9, 10, 11, 12]
101	HLA-B44_05	[9, 10, 11, 12]
102	HLA-B44_15	[9, 10, 11]
103	HLA-B44_27	[9, 10, 11, 12]
104	HLA-B45_01	[9, 10, 11, 12]
105	HLA-B46_01	[9, 10, 11]
106	HLA-B48_01	[9, 10, 11]
107	HLA-B49_01	[9, 10, 11]
108	HLA-B50_01	[9, 10, 11, 12]
109	HLA-B51_01	[9, 10, 11]
110	HLA-B51_02	[9, 10, 11]
111	HLA-B51_03	[9, 10, 11]
112	HLA-B52_01	[9, 10]
113	HLA-B53_01	[9, 10, 11, 12]
114	HLA-B54_01	[9, 10, 11, 12]
115	HLA-B55_01	[9, 10, 11, 12]
116	HLA-B55_02	[9, 10, 11, 12]
117	HLA-B56_01	[9, 10, 11, 12]
118	HLA-B57_01	[9, 10, 11, 12]
119	HLA-B57_02	[9, 10, 11, 12]
120	HLA-B57_03	[9, 10, 11, 12]
121	HLA-B58_01	[9, 10, 11, 12]
122	HLA-B58_02	[9, 10, 11, 12]
